Ticker,Prob,Sentiment,PCR,Market
PANW,0.7317071,-0.054,10.790273556231003,NASDAQ
PLD,0.69223565,-0.002,0.05594904458598726,NASDAQ
QCOM,0.67427886,0.0275,11.490116801437557,NASDAQ
ADBE,0.6644936,-0.2387,15.092857142857143,NASDAQ
NOW,0.6403587,-0.0521,5.355659025787966,NASDAQ
AVGO,0.63776165,0.0171,0.62942315591808,NASDAQ
AMZN,0.63664067,-0.0097,0.6966301426504031,NASDAQ
NVDA,0.6162058,0.0486,0.6809030551620894,NASDAQ
AMD,0.6096914,0.1335,1.116709968549159,NASDAQ
META,0.5944953,-0.147,0.9714363070258563,NASDAQ
AAPL,0.5899334,0.0138,0.940695219423918,NASDAQ
TSLA,0.5899334,0.0672,0.57599732560731,NASDAQ
APLD,0.5899334,-0.0715,0.273006993006993,NASDAQ
MSFT,0.5899334,-0.1004,0.4579957356076759,NASDAQ
GOOGL,0.5899334,0.009,0.873741925792399,NASDAQ
ALAB,0.5899334,0.0668,1.962245885769603,NASDAQ
CRWD,0.5899334,-0.2813,1.0798033282904689,NASDAQ
INTC,0.5899334,-0.0523,0.912451099419938,NASDAQ
ARM,0.5899334,0.055,0.3556914578812389,NASDAQ
SMCI,0.58802676,-0.0193,0.9796457579019473,NASDAQ
SNPS,0.58764684,-0.1532,0.5631399317406144,NASDAQ
CDNS,0.54887605,-0.0037,1.994535519125683,NASDAQ
MU,0.524732,0.1799,0.5882910963545196,NASDAQ
005930.KS,0.48432532,0.1697,1.0,KOREA
105560.KS,0.48425022,-0.0098,1.0,KOREA
000270.KS,0.47837928,-0.0212,1.0,KOREA
055550.KS,0.47189483,0.0773,1.0,KOREA
PLTR,0.46858874,0.1848,2.365777080062794,NASDAQ
207940.KS,0.464715,0.3065,1.0,KOREA
000660.KS,0.46405065,0.049,1.0,KOREA
042700.KS,0.45931777,-0.2912,1.0,KOREA
005380.KS,0.45888972,0.1531,1.0,KOREA
034020.KS,0.44559357,0.113,1.0,KOREA
033170.KQ,0.4450862,0.0,1.0,KOREA
051910.KS,0.43936637,0.0573,1.0,KOREA
068270.KS,0.43743393,0.1792,1.0,KOREA
035420.KS,0.43717122,0.1458,1.0,KOREA
086520.KQ,0.43666846,0.0046,1.0,KOREA
259960.KS,0.43459585,-0.0848,1.0,KOREA
010950.KS,0.43225878,0.0,1.0,KOREA
247540.KQ,0.43000078,0.1509,1.0,KOREA
CRM,0.4287495,-0.0611,6.265351860152398,NASDAQ
010140.KS,0.4257661,-0.1589,1.0,KOREA
094820.KQ,0.4256193,0.0,1.0,KOREA
214370.KQ,0.42196044,0.0093,1.0,KOREA
035720.KS,0.41678292,0.0025,1.0,KOREA
011780.KS,0.4078579,-0.0471,1.0,KOREA
000100.KS,0.40419978,0.0804,1.0,KOREA
